application software 应用软件
Blu-ray      蓝光
cloud computing      云计算
communication device      通信设备
compact disc    光盘
computer competency      计算机能力
connectivity      连通性
data      数据
database file      数据库文件
desktop computer      台式电脑
device driver      设备驱动程序
digital versatile disc      数字通用光盘
 digital video disc      数字视频光盘
document file      文档文件
end user      最终用户
flash memory card      闪速存储卡
general-purpose application      通用应用程序
handheld computer      掌上电脑
hard disk      硬盘
hardware      硬件
information      信息
information system      信息系统
information technology      信息技术
input device      输入设备
Internet      因特网，国际互联网络，国际网
keyboard      键盘
laptop computer      膝上型计算机
mainframe computer      大型计算机
memory      内存，存储器
microcomputer      微型计算机
microprocessor      微处理器
midrange computer      中型计算机
mobile app (application)      移动APP
modem      调制解调器
monitor      监视器
mouse      鼠标
network      网络
notebook computer      笔记本电脑
operating system       操作系统
optical disc      光盘
output device      输出设备
people      人
personal digital assistant       个人数字助理(一般为掌上电脑)
presentation file      演示文件
printer      打印机
procedures      过程
program      程序
random-access memory       随机访问存储器
secondary storage      辅助存储设备
server      服务器
smartphone      智能手机
software      软件
solid-state drive      固态驱动器
solid-state storage      固态存储
specialized application      专门应用软件
supercomputer      超级计算机
system software      系统软件
system unit      系统单元
tablet      平板
tablet computer      平板电脑
utility      实用程序
virus      病毒
web      环球网
wireless revolution      无线革命
worksheet file      工作表文件
address      地址
Advanced Research Project Agency Network      (美国国防部)高级研究计划署网络
applets      小应用程序
attachment      附件
BitTorrent      比特流
blog      博客
browser      浏览器
business to business      商家对商家-电子商务
business to customer      企业对消费者-电子商务模式
cable      电缆
cascading style sheets       层叠样式表
Center for European Nuclear Research      欧洲粒子物理研究所
circles      圆
client-based e-mail account      基于客户的电子邮件帐户
cloud computing      云计算
consumer-to-consumer       消费者对消费者-电子商务模式
digital cash      数字现金
domain name      域名
downloading      下载
DSL      数字用户线路
e-commerce      电子商务
e-learning      电子学习
electronic commerce      电子商务
electronic mail      电子邮件
e-mail      电子邮件
Facebook      脸谱
Facebook groups      脸谱群
Facebook Pages      脸谱页面
Facebook Profile      脸谱概况
file transfer protocol      文件传送(输)协议
filter      过滤器
friend      朋友
Google Plus       谷歌加
Hangouts      
header      电子邮件的信头
hits      点击
hyperlink      超链接
Hypertext Markup Language      超文本标记语言
instant messaging      即时通讯
